ID	SPECIES
Subject_34	Homo_sapiens
Subject_35	Homo_sapiens
Subject_36	Homo_sapiens
Subject_37	Homo_sapiens
Subject_38	Homo_sapiens
Subject_39	Homo_sapiens
Subject_40	Homo_sapiens
Subject_41	Homo_sapiens
Subject_45	Homo_sapiens
Subject_46	Homo_sapiens
Subject_60	Homo_sapiens
Subject_26	Homo_sapiens
Subject_15	Homo_sapiens
Subject_27	Homo_sapiens
Subject_24	Homo_sapiens
Subject_8	Homo_sapiens
Subject_16	Homo_sapiens
Subject_25	Homo_sapiens
Subject_17	Homo_sapiens
Subject_1	Homo_sapiens
Subject_20	Homo_sapiens
Subject_18	Homo_sapiens
Subject_54	Homo_sapiens
Subject_55	Homo_sapiens
Subject_56	Homo_sapiens
Subject_58	Homo_sapiens
Subject_59	Homo_sapiens
