ID	SPECIES
Subject_30	Homo_sapiens
Subject_31	Homo_sapiens
Subject_32	Homo_sapiens
Subject_33	Homo_sapiens
Subject_34	Homo_sapiens
Subject_35	Homo_sapiens
Subject_36	Homo_sapiens
Subject_37	Homo_sapiens
Subject_38	Homo_sapiens
Subject_39	Homo_sapiens
Subject_44	Homo_sapiens
Subject_40	Homo_sapiens
Subject_41	Homo_sapiens
Subject_42	Homo_sapiens
Subject_43	Homo_sapiens
Subject_45	Homo_sapiens
Subject_46	Homo_sapiens
Subject_47	Homo_sapiens
Subject_48	Homo_sapiens
Subject_49	Homo_sapiens
Subject_50	Homo_sapiens
Subject_51	Homo_sapiens
Subject_52	Homo_sapiens
Subject_53	Homo_sapiens
Subject_60	Homo_sapiens
Subject_26	Homo_sapiens
Subject_15	Homo_sapiens
Subject_27	Homo_sapiens
Subject_24	Homo_sapiens
Subject_8	Homo_sapiens
Subject_16	Homo_sapiens
Subject_25	Homo_sapiens
Subject_17	Homo_sapiens
Subject_1	Homo_sapiens
Subject_20	Homo_sapiens
Subject_18	Homo_sapiens
Subject_14	Homo_sapiens
Subject_3	Homo_sapiens
Subject_28	Homo_sapiens
Subject_19	Homo_sapiens
Subject_23	Homo_sapiens
Subject_7	Homo_sapiens
Subject_9	Homo_sapiens
Subject_29	Homo_sapiens
Subject_21	Homo_sapiens
Subject_13	Homo_sapiens
Subject_2	Homo_sapiens
Subject_12	Homo_sapiens
Subject_6	Homo_sapiens
Subject_22	Homo_sapiens
Subject_4	Homo_sapiens
Subject_5	Homo_sapiens
Subject_10	Homo_sapiens
Subject_11	Homo_sapiens
Subject_54	Homo_sapiens
Subject_55	Homo_sapiens
Subject_56	Homo_sapiens
Subject_57	Homo_sapiens
Subject_58	Homo_sapiens
Subject_59	Homo_sapiens
